											
Date	Day	Unit	Text	Title	Guiding_Question	CCLS	Do Now	Mini-lesson	Task	Assessment	Homework
7-Sep	1	1	1.1	Introducing functions	How do we define functions?	HSF.IF.C.7 Analyze functions	Skills Check 1-3 pg2	Relations, domain, range, function definitions; vertical line test p 4-6	-	-	Function identification 1A & 1B p 6-7
8-Sep	2	1	1.2	Set notation	How do we define sets?	HSF.IF.C.7 Analyze functions	Problems 2-4 pg 8	Interval and set builder notation, asymptotes p8-11	-	-	Asymptotes, domain & range 1C & 1D ps 10, 12
12-Sep	3	1	1.2	Function notation	How do we define functions?	HSF.IF.C.7 Analyze functions	Graph 3a & one other from problem 3, p12. Use 1 cm = 1 unit	Function notation p13	-	Simplify example 7 p13	Functions 1E p13
27-Sep	4	1	1	Functions	-	HSF.IF.C.7 Analyze functions	-	Using Desmos & Office	-	-	-
23-Oct	5	1	4	Exponentials	How do we quantify growth?	HSF.IF.C.7 Analyze functions	f(x)=-3x^2+2x-16; evaluate f(x-2). Optional: graph both	The laws of exponents	Exercise 4A-4B p104-6	-	Exponents worksheet
30-Oct	6	1	4	Exponentials	What is the most natural growth factor?	HSF.IF.C.7 Analyze functions	Radicals problems	The natural base, "e". p 111	Transformations p113; Exercises 4F p114	-	-
31-Oct	7	1	4	Exponentials	How do we work with exponents?	HSF.IF.C.7 Analyze functions	Radicals problems	Adding radicals, rationalizing the denominator	Exponent problems	-	Handout radical problems and review
1-Nov	8	1	4	Exponentials	How do we communicate mathematical ideas?	HSF.IF.C.7 Analyze functions	Radicals problems, transformations	Desmos, Office, technical writing	1) Deltamath radicals practice, 2) 1 page graphing paper	Share chuson@schools.nyc.gov (husonbeca@gmail.com); Deltamath ID: 546068	Login to Deltamath and Office from home (write text by hand)
2-Nov	9	1	4	Exponentials	How do we communicate mathematical ideas?	HSF.IF.C.7 Analyze functions	Boot up laptop for radicals problems, transformations	Desmos, Office, technical writing	1) Deltamath radicals practice, 2) 1 page graphing paper	-	Login to Deltamath and Office from home (write text by hand)
6-Nov	10	1	4	Exponentials	How do we simplify and graph exponential functions?	HSN.RN.A.2 Rewrite expressions involving radicals and rational exponents using the properties of exponents	f(x)=x2+2x-15, simplify f(x-3)	Properties of exponents and exponential functions p 103-7	Problems 4C p107, 4D-E p108	Share out exercises, hand in classwork	Quiz preparation & review, handout problems
9-Apr	1	2	8	Descriptive Stats	How do we summarize the features of a population?	HSS.IC.A.1 Understand statistics as a process for making inferences about a population	Practice problem set	Statistics introduction pp. 254-266; Frequency tables	Write down vocabulary p. 254	Test corrections due Friday (in my box)	\#2,3 p. 260; \#1b, 2a, 2b p. 261; \#2, 4, 5 p. 264
23-Apr	2	2	11	Regressions	How do we compare two variables?	HSS.IC.A.1 Understand statistics as a process for making inferences about a population	Bivariate plot	Applying independence tests in a real world context. Picking an exploration topic	Logarithm and exam problem review	Subway statistics paper due	Study for SAT / Test corrections due Monday April 30
13-Sep	1	3	1.4	Function notation	What are composites of functions?	HSF.IF.C.7 Analyze functions	-	-	-	-	
14-Sep	2	3	1.5	Function inverses	How do we take the inverse of a function?	HSF.IF.C.7 Analyze functions	g(x)=x^2+3, h(x)=x-4 a) (g*h)(x) b) (h*g)(x) c) hence, solve (g*h)(x) = (h*g)(x)	Reflecting across y=x, inverse algebracly p 16-20	-	-	Handout inverse and composition IB problems
15-Sep	3	3	1.5	Function transformations	How do we transform a function?	HSF.IF.C.7 Analyze functions	f(x)= 2x-3. Calculate: a) The inverse of f, f-1  b) (f*f-1)(3) c) (f-1*f)(5) d) (f-1*f)(x)	Transformations p21-24	-	-	-
19-Sep	4	3	1.1-5	Function notation	How do we use functions?	HSF.IF.C.7 Analyze functions	f(x)= x2-1, x>0. Write down: a) f-1(x) b) (f-1)(35) c) f(x)=48, solve for x d) The domain and range of f	Review chapter 1 (through 1.5)	-	Deltamath due tonight	Study for test
26-Sep	5	3	1.1-5	Functions	How do we combine functions?		 u(x)=x2 , v(x)=2x; Simplify expressions: (a) u(x) + v(x); (b) u(x) * v(x); (c) u(v(x)) (d) f(x)=u(x) + v(x); f(-2)= ? (e) g(x)=u(x) * v(x); g(0)= ?	Operations on functions	-	Homework problem review	Handout transformation graphing exercises, test corrections due Friday
27-Sep	6	3	1.1-5	Functions	-	HSF.IF.C.7 Analyze functions	-	Using Desmos & Office	-	-	-
28-Sep	7	3	1.1-5	Functions	How do we transform functions?	HSF.IF.C.7 Analyze functions	f(x)=|x|. Make the following transformations: a) shift left 5 units, b) shift down 2 units, c) stretch horizontally by a factor of 2, d) shrink vertically in half, e) reflect vertically, f) name a transformation that would leave f invariant.	Homework problem review	-	-	Transformations handout
