Day,Chapter,Title,Guiding_Question,CCLS,DoNow,Mini-lesson,Task,Assessment,Homework
1,1,Functions,,,Over what interval(s) is the function increasing and decreasing: f(x)= x3 - 3x2 +x+2,,,,
1,7,Derivatives,What is the slope of a curve?,,"graph f(x)= x^2+1, g(x)=1 on the same grid","Continuous functions, tangents, definition of derivatives p197-9",,"#1, 7C pg 201",slope of a secant 7C pg 201
2,7,Derivatives,What is the derivative of a polynomial?,,"express as an exponent: 1/x, sqrt(x)
(put homework problems on board)",Power rule p202,,"#1-3, 7D pg 202",taking derivatives 7E pg 203
3,7,Derivatives,What is the tangent and normal to a curve?,,Function handout,Tangent and normal lines' equations,,,7 F & G; Function review handout
4,7,Derivatives,What is the tangent and normal to a curve?,,"Find the equations of the tangent and normals to f(x)=x^2-4x at (3, -3). Graph them.
Find the equations of the vertical normals to f(x)=x^3-3x",Tangent and normal lines' equations (logs),,7G #5 p 207,7H; Function review handout
5,7,Derivatives,What is the tangent and normal to a curve?,,Graph y=x^3/4-3x on your calculator; write down dy/dx,Tangent and normal lines' equations,,7G #5 p 207,Tangents and normals handout
6,7,Derivatives,What is the tangent and normal to a curve?,,"y= 3x2 - x. Using the definition of the derivative as a limit, show dy/dx = 6x-1",Tangents & normal lines to a curve,Review for exam,,Pre-test handout
7,7,Derivatives,What is the tangent and normal to a curve?,,,"Pre-test problem review, log derivatives",Review for exam,,Study for exam
1,12.1,Vectors,How do we work with direction?,,"Skills Check, textbook p 404-5","Vectors: column & unit vectors, 3D, & magnitude p404-411 ",(homework & exam review problems),,Textbook exercises 12A p410
2,12.1,Vectors,How do we work with direction?,,Vector and calculus board problems,"Equal, negative, parallel, position, & resultant vectors p. 411-5",Exercises 12B & 12C,,Handout vector and review problems
3,12.1,Vectors,How do we work with direction?,,Position vectors,"Position vectors, subtracting position vectors: resultant vectors","Textbook exercises 12C & 12D, E (#2 p418)",,Complete textbook exercises 12B & 12C
4,12.2,Vectors,How do we add vectors?,,Calculus warmup problem. [presentation of homework product rule solution],Addition and subtraction of vectors 12.2 p420,"Textbook exercises 12F, 12G & 12H",,"Textbook exercises 12F, 12G & 12H"
5,12.4,Vectors,How do we write the equation of a line as vectors?,,"Show that OA=(5, 3) and OB=(-3,5) are perpendicular. AB=? |AB|=?",Vector equations p.430,"Example 14, exercises",#8a p 433,Vector Paper 1 exam problems
6,12.4,Vectors,How do we write the equation of a line as vectors?,,"A vector, v(1, -3), is extended to a point: kv = (4, -12). Find k. Find the unit vector parallel to v. ",Vector equations p.430,"Example 14, exercises",#8a p 433,Exercises 12J
7,12.4,Vectors,How do we write the equation of a line as vectors?,,"Compare Example 18 p54, 2K #1 p55, #2 p57. What is the initial position, velocity, & acceleration in each? (if you're stumped, start with a graph)",Vector equations p.430,"Example 15, exercises",,"Geogebra graphing exploration, handout"
8,12,Vectors,How do we find the intersection of two lines?,,Solve the system x-y= -3 and 2x+y=6.  Are the lines perpendicular?,Intersection of two vector equations p 434,"Example 15, exercises",12K #1 p 435,Exercises 12K
9,12,Vectors,How do we solve problems with vector linear equations?,,"Show that the point (-1, 9) is on the line r = (2, 3)+s(-1,2)",Points on a line defined by vector equations p 434, #5 p 441. Homework review,,Review exercises p 438-441
1,7,Derivatives,How we use calculus to optimize situations?,,What is lim(x->3) of x^2? lim (x-> infinity) (x+3)/x? lim(x->2) of (x^2-4)/(x-2)?,Applications of caculus p244,Examples 29-32,Classwork,"Exercises 7W & 7X, p244, 6"
2,7,Derivatives,How we use calculus to optimize situations?,,IB Differentiation problems,Homework review problems,Examples 29-33,Classwork,Handout calculus problems (& radicals review)
3,7,Derivatives,How do we apply calculus to business situations?,,,,Rates of change profit model,,
1,13,Trig and circular functions,How do we use periodic functions?,HSF.TF.A.3 Extend trig functions with the unit circle,Problem set review,Periodic functions,Work homework problems on board,problem set mark scheme,Sine curves \& mixed exam problems
2,13,Trig and circular functions,How do we use periodic functions?,HSF.TF.A.3 Extend trig functions with the unit circle,"Sketch the periodic function $f(x)=\sin{x}$} Label the $x$-axis with multiples of $\pi$, including standard fractions in the first quadrant
    \item Mark the $y$-axis with the values of the standard angles (positive and negative).  Mark points on the curve at the standard angles.",Applications calculating the period as $\frac{2\pi}{b}$,Work homework problems on board,problem set mark scheme,Trig \& mixed exam problems
3,13,Trig and circular functions,How do we use periodic functions?,HSF.TF.A.3 Extend trig functions with the unit circle,,,Work homework problems on board,problem set mark scheme,Trig \& mixed exam problems
4,13,Trig and circular functions,How do we use periodic functions?,HSF.TF.A.3 Extend trig functions with the unit circle,,,Work homework problems on board,problem set mark scheme,Mixed review problems
5,13,Trig and circular functions,How do we use periodic functions?,HSF.TF.A.3 Extend trig functions with the unit circle,,Trig problems,Work homework problems on board,problem set mark scheme,Trig \& mixed exam problems
1,15,Probability distributions,How do we use the normal distribution?,HSS.ID.A.4. Fit a data set to a normal distribution and estimate population percentages,Binomial distribution problem,"The normal distribution, p. 538","Applications, problems",,"Exercises 15H p. 541, , CW JA16 - Regents exponent problems"
